epoch,train_loss,train_acc,test_loss,test_acc
1,0.6240623206989572,0.6185306122448979,0.4993154626233237,0.7567857142857143
2,0.46405666261211076,0.782,0.37490101865359715,0.8291071428571428
3,0.3824799292120236,0.8309387755102041,0.35920055874756407,0.8526785714285714
4,0.34380501425063953,0.8535102040816327,0.31308593000684465,0.8705357142857143
5,0.3180854979600981,0.8676734693877551,0.3011025204828807,0.8832142857142857
6,0.29859336536601383,0.8773877551020408,0.33705541474478584,0.8714285714285714
7,0.28914276950119683,0.8841224489795918,0.3143435705559594,0.8794642857142857
8,0.26183755550893417,0.8949795918367347,0.32487769995416915,0.87125
9,0.24588007943865214,0.9052653061224489,0.2835295521787235,0.8917857142857143
10,0.22501014582034656,0.9137142857142857,0.3079626989364624,0.9019642857142857
11,0.20655553573475027,0.921469387755102,0.24629517065627235,0.9017857142857143
12,0.19795139566277867,0.9248163265306123,0.29171722999640876,0.8973214285714286
13,0.18309391285572443,0.9322040816326531,0.31463342177016396,0.8991071428571429
14,0.17205598802055297,0.9381224489795918,0.35764563841479163,0.8864285714285715
15,0.16491943910260815,0.9409795918367347,0.3085470642575196,0.8932142857142857
16,0.15055729790685538,0.9476326530612245,0.2907913199067116,0.8821428571428571
