epoch,train_loss,train_acc,test_loss,test_acc
1,0.6658533061842383,0.5746530612244898,0.5804296205724989,0.6942857142857143
2,0.522478433603095,0.7434285714285714,0.4755953473704202,0.7717857142857143
3,0.4721546818553312,0.7736326530612245,0.4498450483594622,0.7969642857142857
4,0.43267860146866766,0.7982857142857143,0.38991457888058256,0.84375
5,0.38296517519664514,0.8307755102040816,0.35649599168981827,0.8451785714285714
6,0.36026896394341795,0.8446530612244898,0.3698637740952628,0.8569642857142857
7,0.33843037546381316,0.8547755102040816,0.32978856763669423,0.865
8,0.32297868100687976,0.8648571428571429,0.342635458111763,0.8675
9,0.3133505459087013,0.8716734693877551,0.3302807851348604,0.8755357142857143
10,0.3129334463968912,0.8711020408163266,0.3353132463353021,0.86
11,0.2892411081874184,0.8831428571428571,0.3486045514685767,0.8691071428571429
12,0.27592287643498914,0.888734693877551,0.34317163224731173,0.8669642857142857
